source,target,weight
216,80,4
216,108,1
216,207,2
216,181,2
216,35,1
216,100,2
216,52,1
216,168,1
216,131,1
102,102,107
102,66,12
102,101,184
102,112,294
102,46,1
102,79,2
102,1,7
102,3,1
102,7,1
102,161,1
102,11,4
102,115,1
102,106,1
102,157,1
102,164,3
102,162,3
102,78,2
102,200,1
102,56,1
102,152,1
102,195,1
102,39,1
102,84,31
102,20,2
102,69,1
102,72,2
102,48,1
102,170,2
102,114,1
102,58,3
102,9,1
102,0,1
102,37,1
102,22,1
102,10,2
102,68,3
102,151,58
102,150,26
102,166,2
102,123,1
102,53,1
102,165,34
102,111,18
102,117,3
102,121,1
102,113,1
102,26,1
102,94,1
102,90,200
102,127,1
102,118,5
102,87,15
102,163,1
102,160,3
102,119,11
102,120,7
102,144,1
102,38,1
102,89,2
66,102,2
66,66,515
66,82,1
66,93,8
66,104,1
66,18,56
66,91,7
66,129,1
66,101,3
66,112,6
66,46,5
66,79,3
66,143,4
66,3,29
66,1,39
66,7,11
66,36,1
66,76,22
66,161,15
66,186,1
66,11,218
66,73,56
66,64,171
66,115,1
66,67,106
66,106,30
66,164,101
66,193,8
66,194,1
66,27,2
66,158,1
66,15,50
66,162,13
66,187,1
66,78,23
66,185,1
66,211,1
66,198,31
66,200,40
66,56,10
66,152,1
66,195,7
66,41,21
66,39,6
66,146,4
66,65,90
66,84,103
66,80,2
66,20,1
66,19,5
66,69,12
66,5,4
66,74,2
66,126,1
66,6,5
66,128,1
66,159,1
66,30,4
66,85,2
66,145,1
66,124,1
66,14,2
66,72,11
66,28,1
66,48,3
66,170,7
66,154,5
66,196,2
66,58,38
66,184,2
66,9,157
66,197,1
66,92,1
66,133,2
66,81,2
66,0,10
66,62,1
66,34,6
66,33,30
66,37,15
66,22,73
66,156,1
66,44,3
66,35,4
66,29,1
66,47,1
66,174,4
66,10,435
66,68,116
66,209,1
66,151,21
66,150,29
66,166,86
66,75,2
66,109,1
66,8,4
66,2,25
66,53,3
66,165,132
66,111,24
66,43,2
66,88,79
66,121,3
66,12,73
66,71,9
66,113,7
66,31,17
66,60,1
66,42,2
66,26,6
66,94,3
66,90,26
66,32,13
66,23,2
66,16,2
66,45,3
66,59,55
66,63,23
66,127,27
66,118,7
66,87,7
66,163,53
66,160,135
66,171,4
66,119,10
66,140,1
66,199,27
66,77,2
66,24,56
66,57,29
66,120,38
66,144,11
66,13,8
66,38,26
66,89,29
66,107,10
66,70,62
82,216,3
82,66,2
82,82,653
82,139,5
82,179,6
82,141,19
82,104,87
82,142,22
82,46,29
82,79,82
82,3,11
82,1,6
82,7,1
82,36,1
82,76,10
82,161,1
82,186,41
82,11,1
82,73,1
82,193,3
82,21,16
82,27,5
82,158,127
82,51,6
82,15,4
82,205,1
82,135,37
82,187,86
82,78,27
82,185,14
82,200,8
82,56,1
82,147,293
82,195,3
82,41,9
82,39,10
82,146,4
82,105,13
82,84,1
82,80,106
82,108,318
82,20,10
82,207,4
82,19,1
82,5,7
82,74,1
82,167,1
82,96,27
82,159,28
82,181,5
82,14,1
82,28,10
82,61,113
82,4,47
82,48,83
82,103,17
82,177,4
82,137,1
82,196,1
82,114,1
82,188,11
82,192,6
82,197,37
82,133,2
82,0,53
82,62,39
82,54,21
82,34,4
82,33,6
82,37,14
82,40,32
82,22,1
82,156,18
82,35,14
82,29,43
82,178,7
82,47,45
82,174,2
82,125,2
82,10,3
82,68,1
82,100,58
82,17,2
82,208,1
82,123,25
82,75,2
82,109,2
82,8,75
82,2,15
82,52,43
82,53,59
82,165,1
82,148,155
82,43,4
82,203,8
82,168,3
82,12,2
82,71,7
82,113,1
82,60,8
82,42,19
82,98,1
82,176,7
82,32,30
82,55,7
82,23,10
82,16,74
82,45,1
82,63,3
82,95,4
82,163,2
82,131,196
82,134,7
82,140,55
82,130,29
82,149,42
82,199,1
82,155,21
82,77,3
82,57,1
82,38,4
82,89,1
82,107,1
82,49,44
82,50,6
82,86,75
82,116,20
210,210,11
210,3,2
210,1,2
210,106,1
210,27,2
210,158,1
210,51,1
210,41,2
210,39,1
210,4,1
210,197,2
210,0,3
210,178,2
210,68,1
210,100,2
210,8,4
210,2,3
210,52,1
210,53,1
210,60,2
210,42,4
210,32,3
210,16,1
210,171,5
210,131,3
210,155,2
210,57,2
139,82,2
139,139,166
139,179,87
139,141,2
139,142,1
139,18,3
139,3,1
139,76,1
139,186,2
139,11,1
139,27,10
139,51,1
139,78,3
139,147,5
139,41,1
139,108,3
139,96,26
139,159,114
139,181,2
139,14,1
139,28,15
139,61,3
139,170,1
139,154,1
139,137,67
139,138,37
139,188,1
139,192,28
139,197,1
139,0,7
139,62,6
139,54,7
139,33,1
139,40,2
139,44,3
139,35,2
139,17,14
139,8,33
139,52,2
139,53,1
139,203,6
139,168,21
139,71,1
139,60,2
139,32,1
139,55,61
139,23,33
139,16,5
139,131,5
139,140,8
139,130,6
139,199,1
139,155,1
139,77,17
139,13,1
139,38,1
139,86,1
179,82,2
179,139,112
179,179,215
179,143,2
179,3,3
179,1,2
179,76,2
179,73,2
179,27,7
179,158,1
179,78,2
179,147,1
179,80,4
179,207,1
179,19,1
179,69,3
179,74,1
179,96,155
179,159,42
179,181,5
179,85,1
179,14,2
179,28,6
179,48,7
179,137,89
179,138,56
179,192,54
179,62,8
179,54,2
179,37,1
179,40,5
179,22,1
179,156,1
179,44,5
179,47,2
179,17,3
179,8,17
179,52,2
179,43,1
179,203,12
179,168,20
179,113,1
179,60,2
179,42,2
179,32,1
179,55,63
179,23,40
179,16,2
179,59,2
179,131,5
179,140,12
179,155,1
179,77,37
179,57,1
179,13,1
179,89,1
179,116,1
220,220,2
220,91,8
220,194,2
220,152,1
220,85,1
220,170,1
220,154,1
220,33,1
220,37,1
220,10,1
220,136,1
220,113,2
220,163,5
220,160,4
220,89,4
220,107,1
93,66,15
93,220,1
93,93,270
93,141,1
93,104,1
93,18,37
93,91,32
93,3,25
93,1,116
93,7,24
93,76,7
93,217,2
93,161,19
93,11,3
93,73,1
93,115,1
93,67,2
93,106,6
93,193,49
93,21,2
93,194,30
93,27,1
93,158,2
93,15,60
93,162,41
93,135,1
93,122,3
93,78,7
93,200,20
93,56,7
93,152,28
93,195,4
93,41,8
93,39,22
93,146,23
93,65,1
93,84,5
93,19,2
93,69,2
93,5,1
93,74,1
93,85,6
93,145,2
93,124,2
93,14,1
93,28,16
93,61,1
93,48,1
93,170,139
93,154,71
93,196,10
93,114,5
93,9,2
93,197,3
93,219,1
93,0,10
93,62,2
93,54,7
93,34,3
93,33,7
93,37,17
93,40,2
93,22,6
93,156,2
93,10,63
93,68,24
93,209,1
93,150,2
93,166,2
93,8,6
93,2,8
93,136,2
93,165,1
93,148,2
93,117,2
93,88,2
93,12,20
93,71,11
93,113,69
93,60,4
93,42,13
93,94,1
93,90,1
93,32,5
93,55,3
93,23,3
93,16,4
93,59,1
93,63,1
93,127,1
93,87,2
93,163,31
93,160,60
93,171,41
93,119,2
93,77,1
93,24,21
93,57,58
93,120,13
93,144,4
93,13,1
93,38,7
93,89,52
93,107,61
93,70,1
141,82,13
141,139,9
141,93,1
141,141,171
141,104,10
141,142,30
141,46,15
141,79,4
141,143,1
141,3,1
141,1,2
141,76,3
141,186,2
141,73,1
141,106,1
141,21,9
141,27,3
141,158,8
141,162,2
141,205,1
141,135,138
141,187,14
141,78,10
141,147,8
141,132,3
141,195,2
141,105,46
141,108,9
141,169,4
141,207,2
141,19,8
141,69,3
141,5,1
141,74,20
141,6,1
141,159,2
141,191,1
141,124,5
141,72,1
141,28,1
141,61,2
141,4,4
141,48,5
141,103,33
141,138,1
141,97,1
141,184,7
141,188,12
141,192,1
141,9,1
141,197,3
141,0,2
141,62,1
141,54,1
141,34,2
141,37,1
141,22,2
141,156,8
141,44,1
141,35,22
141,29,2
141,174,3
141,125,1
141,10,3
141,100,8
141,151,1
141,17,1
141,123,16
141,8,4
141,2,9
141,53,2
141,148,1
141,43,1
141,117,1
141,88,1
141,71,15
141,60,1
141,42,2
141,98,2
141,32,15
141,23,2
141,16,3
141,45,2
141,63,2
141,118,1
141,131,2
141,130,2
141,149,1
141,199,2
141,155,26
141,77,3
141,120,1
141,49,3
141,50,1
141,86,62
141,116,110
104,66,1
104,82,76
104,179,2
104,93,1
104,141,9
104,104,186
104,142,13
104,46,3
104,79,37
104,143,17
104,3,2
104,7,1
104,76,1
104,186,2
104,11,1
104,106,1
104,193,5
104,27,1
104,158,24
104,205,1
104,135,9
104,187,68
104,78,9
104,147,66
104,132,10
104,39,1
104,105,6
104,80,2
104,108,80
104,6,3
104,14,1
104,28,4
104,61,9
104,4,16
104,48,10
104,170,6
104,103,29
104,177,1
104,97,2
104,188,7
104,197,6
104,133,1
104,219,1
104,0,5
104,62,4
104,54,7
104,34,3
104,40,4
104,156,3
104,35,3
104,29,5
104,47,4
104,125,2
104,100,12
104,17,3
104,123,3
104,8,16
104,2,3
104,52,4
104,53,5
104,148,50
104,203,1
104,168,2
104,71,1
104,94,1
104,32,1
104,16,7
104,45,1
104,87,1
104,163,1
104,131,5
104,140,3
104,130,16
104,149,13
104,199,2
104,155,13
104,24,1
104,120,2
104,49,3
104,50,1
104,86,85
104,116,11
142,82,27
142,141,25
142,104,25
142,142,328
142,218,1
142,46,17
142,79,23
142,3,6
142,1,1
142,76,2
142,161,4
142,186,1
142,115,7
142,110,1
142,193,1
142,21,12
142,27,2
142,158,23
142,51,2
142,15,2
142,162,2
142,135,25
142,187,36
142,78,26
142,198,1
142,147,43
142,132,16
142,195,2
142,146,2
142,105,13
142,65,1
142,80,1
142,108,1
142,169,1
142,20,2
142,19,8
142,69,5
142,5,29
142,74,9
142,167,6
142,6,12
142,124,3
142,14,1
142,72,5
142,28,1
142,61,4
142,4,4
142,48,11
142,154,1
142,103,121
142,137,1
142,138,2
142,196,1
142,97,24
142,184,17
142,188,211
142,9,1
142,197,5
142,92,9
142,133,6
142,0,7
142,62,1
142,54,5
142,34,4
142,33,4
142,40,1
142,22,2
142,156,35
142,44,22
142,35,19
142,29,5
142,47,3
142,174,23
142,125,2
142,10,2
142,68,1
142,100,26
142,166,1
142,123,30
142,109,1
142,8,1
142,2,28
142,52,3
142,53,10
142,148,2
142,190,1
142,182,4
142,43,2
142,88,4
142,12,1
142,71,12
142,60,5
142,26,3
142,94,2
142,98,15
142,32,12
142,23,2
142,16,54
142,45,3
142,127,1
142,118,1
142,160,1
142,131,3
142,140,3
142,130,3
142,149,1
142,199,3
142,155,9
