source,target,weight
3M,Krzywoustego - Rynek Psie Pole,4
3M,Krzywoustego / Korona,1
3M,Kwidzyńska pętla,2
3M,Miłoszycka / Swojczycka,2
3M,Plac Uniwersytecki (UWr),1
3M,Promenady Wrocławskie,2
3M,Sienkiewicza / Piastowska,1
3M,Strachocińska / Wieniacza,1
3M,al. Brücknera / Kwidzyńska,1
Aleja Bielany,Aleja Bielany,107
Aleja Bielany,Aleja Hallera / Mielecka,12
Aleja Bielany,Centrum Handlowe Auchan Bielany,184
Aleja Bielany,Czekoladowa / Wałbrzyska,294
Aleja Bielany,Drobnera / Dubois,1
Aleja Bielany,Drobnera / Plac Bema,2
Aleja Bielany,Dworzec Główny południe,7
Aleja Bielany,Dworzec Główny,1
Aleja Bielany,Dyrekcyjna / Borowska (Wroclavia),1
Aleja Bielany,Gliniana / Gajowa,1
Aleja Bielany,Grabiszyńska / Aleja Hallera,4
Aleja Bielany,Graniczna / Strzegomska,1
Aleja Bielany,Grota-Roweckiego / Parafialna,1
Aleja Bielany,Grota-Roweckiego/Iwaszkiewicza,1
Aleja Bielany,Hallera / Odkrywców,3
Aleja Bielany,Kamienna / Tomaszowska,3
Aleja Bielany,Kazimierza Wielkiego (Helios),2
Aleja Bielany,Komandorska / Kamienna,1
Aleja Bielany,Komandorska / Sanocka,1
Aleja Bielany,Konduktorska,1
Aleja Bielany,Kołłštaja / Podwale,1
Aleja Bielany,Kociuszki / Pułaskiego,1
Aleja Bielany,Krzycka / Aleja Karkonoska (Park Południowy),31
Aleja Bielany,Kurkowa / Dubois,2
Aleja Bielany,Legnicka / Młodych Techników,1
Aleja Bielany,Na Ostatnim Groszu,2
Aleja Bielany,Nowowiejska / Wyszyńskiego,1
Aleja Bielany,Nyska / Jesionowa,2
Aleja Bielany,Opolska / pętla tramwajowa,1
Aleja Bielany,Oporów (pętla tramwajowa),3
Aleja Bielany,Pereca / Grabiszyńska,1
Aleja Bielany,Plac Dominikański (Galeria Dominikańska),1
Aleja Bielany,Plac Legionów,1
Aleja Bielany,Plac Powstańców lšskich,1
Aleja Bielany,Powstańcow lšskich / Aleja Hallera,2
Aleja Bielany,Powstańców lšskich (Arkady Wrocławskie),3
Aleja Bielany,Przyjani,58
Aleja Bielany,Przyjani / Karkonoska,26
Aleja Bielany,Racławicka / Rymarska,2
Aleja Bielany,Reymonta / Kleczkowska,1
Aleja Bielany,Sienkiewicza / Wyszyńskiego,1
Aleja Bielany,Skarbowców / Wietrzna,34
Aleja Bielany,Solskiego / al. Piastów,18
Aleja Bielany,Strachowskiego / Parafialna,3
Aleja Bielany,Strzegomska / Rogowska,1
Aleja Bielany,Tarnogajska / Klimasa,1
Aleja Bielany,Trymanda / Mińska,1
Aleja Bielany,Tyrmanda / Trawowa,1
Aleja Bielany,Wałbrzyska - pętla tramwajowa,200
Aleja Bielany,Zaporoska / Wielka / Krucza,1
Aleja Bielany,Zwycięska / Agrestowa,5
Aleja Bielany,Zwycięska / Ołtaszyńska,15
Aleja Bielany,al. Armii Krajowej / Bardzka,1
Aleja Bielany,al. Armii Krajowej / Borowska,3
Aleja Bielany,al. Karkonoska / Jedziecka,11
Aleja Bielany,lężna / Skierniewicka,7
Aleja Bielany,lężna / pętla tramwajowa,1
Aleja Bielany,widnicka / Piłsudskiego (Hotel Scandic),1
Aleja Bielany,wieradowska (Ferio Gaj ),2
Aleja Hallera / Mielecka,Aleja Bielany,2
Aleja Hallera / Mielecka,Aleja Hallera / Mielecka,515
Aleja Hallera / Mielecka,Aleja Kromera,1
Aleja Hallera / Mielecka,Bardzka / Piękna,8
Aleja Hallera / Mielecka,Berenta / Kasprowicza,1
Aleja Hallera / Mielecka,Borowska (Uniw. Szpital Kliniczny),56
Aleja Hallera / Mielecka,Buforowa - Vivaldiego,7
Aleja Hallera / Mielecka,Bystrzycka / Idzikowskiego,1
Aleja Hallera / Mielecka,Centrum Handlowe Auchan Bielany,3
Aleja Hallera / Mielecka,Czekoladowa / Wałbrzyska,6
Aleja Hallera / Mielecka,Drobnera / Dubois,5
Aleja Hallera / Mielecka,Drobnera / Plac Bema,3
Aleja Hallera / Mielecka,Drzewieckiego / Dedala,4
Aleja Hallera / Mielecka,Dworzec Główny,29
Aleja Hallera / Mielecka,Dworzec Główny południe,39
Aleja Hallera / Mielecka,Dyrekcyjna / Borowska (Wroclavia),11
Aleja Hallera / Mielecka,Fabryczna / Wagonowa,1
Aleja Hallera / Mielecka,Fosa Miejska ,22
Aleja Hallera / Mielecka,Gliniana / Gajowa,15
Aleja Hallera / Mielecka,Gorlicka / Litewska,1
Aleja Hallera / Mielecka,Grabiszyńska / Aleja Hallera,218
Aleja Hallera / Mielecka,Grabiszyńska / Magazynierska (Corte Verona),56
Aleja Hallera / Mielecka,Grabiszyńska / Stalowa,171
Aleja Hallera / Mielecka,Graniczna / Strzegomska,1
Aleja Hallera / Mielecka,Grochowa / Jemiołowa,106
Aleja Hallera / Mielecka,Grota-Roweckiego / Parafialna,30
Aleja Hallera / Mielecka,Hallera / Odkrywców,101
Aleja Hallera / Mielecka,Hubska / Prudnicka,8
Aleja Hallera / Mielecka,Jagodzińska / Buforowa,1
Aleja Hallera / Mielecka,Janiszewskiego (PWr),2
Aleja Hallera / Mielecka,Jednoci Narodowej / Wyszyńskiego,1
Aleja Hallera / Mielecka,Kamienna / Borowska (Aquapark),50
Aleja Hallera / Mielecka,Kamienna / Tomaszowska,13
Aleja Hallera / Mielecka,Kasprowicza / Syrokomli,1
Aleja Hallera / Mielecka,Kazimierza Wielkiego (Helios),23
Aleja Hallera / Mielecka,Kiełczowska,1
Aleja Hallera / Mielecka,Klecińska (Wrocław Grabiszyn),1
Aleja Hallera / Mielecka,Klecińska / Duńska,31
Aleja Hallera / Mielecka,Komandorska / Kamienna,40
Aleja Hallera / Mielecka,Komandorska / Sanocka,10
Aleja Hallera / Mielecka,Konduktorska,1
Aleja Hallera / Mielecka,Kołłštaja / Podwale,7
Aleja Hallera / Mielecka,Kociuszki / Komuny Paryskiej / Zgodna,21
Aleja Hallera / Mielecka,Kociuszki / Pułaskiego,6
Aleja Hallera / Mielecka,Krakowska / Leroy Merlin,4
Aleja Hallera / Mielecka,Krucza / Mielecka / Stalowa,90
Aleja Hallera / Mielecka,Krzycka / Aleja Karkonoska (Park Południowy),103
Aleja Hallera / Mielecka,Krzywoustego - Rynek Psie Pole,2
Aleja Hallera / Mielecka,Kurkowa / Dubois,1
Aleja Hallera / Mielecka,Legnicka (Park Magnolia),5
Aleja Hallera / Mielecka,Legnicka / Młodych Techników,12
Aleja Hallera / Mielecka,Legnicka / Wejherowska,4
Aleja Hallera / Mielecka,Legnicka / Zachodnia ,2
Aleja Hallera / Mielecka,Lotnicza / Metalowców,1
Aleja Hallera / Mielecka,Lotnicza / Na Ostatnim Groszu,5
Aleja Hallera / Mielecka,Malicka / Stodolna,1
Aleja Hallera / Mielecka,Mickiewicza / pętla tramwajowa,1
Aleja Hallera / Mielecka,Mińska / stanisławowska,4
Aleja Hallera / Mielecka,Mocickiego (stacja kolejowa),2
Aleja Hallera / Mielecka,Mocickiego / Chińska ,1
Aleja Hallera / Mielecka,Młodych Techników,1
Aleja Hallera / Mielecka,Na Grobli (PWr - Geocentrum),2
Aleja Hallera / Mielecka,Na Ostatnim Groszu,11
Aleja Hallera / Mielecka,Norwida / Wyspiańskiego (PWr),1
Aleja Hallera / Mielecka,Nowowiejska / Wyszyńskiego,3
Aleja Hallera / Mielecka,Nyska / Jesionowa,7
Aleja Hallera / Mielecka,Nyska / Piękna,5
Aleja Hallera / Mielecka,Opolska / Siemianowicka,2
Aleja Hallera / Mielecka,Oporów (pętla tramwajowa),38
Aleja Hallera / Mielecka,Osobowicka / Ostrowska,2
Aleja Hallera / Mielecka,Pereca / Grabiszyńska,157
Aleja Hallera / Mielecka,Piaskowa / w. Ducha,1
Aleja Hallera / Mielecka,Pilczycka (Stadion Miejski),1
Aleja Hallera / Mielecka,Pilczycka / Koszykarska,2
Aleja Hallera / Mielecka,Pilczycka / Kozanowska,2
Aleja Hallera / Mielecka,Plac Dominikański (Galeria Dominikańska),10
Aleja Hallera / Mielecka,Plac Grunwaldzki (DS Ołówek),1
Aleja Hallera / Mielecka,Plac Jana Pawła II (Akademia Muzyczna),6
Aleja Hallera / Mielecka,Plac Kociuszki (Renoma),30
Aleja Hallera / Mielecka,Plac Legionów,15
Aleja Hallera / Mielecka,Plac Powstańców lšskich,73
Aleja Hallera / Mielecka,Plac Staszica,1
Aleja Hallera / Mielecka,Plac Strzegomski / Poznańska,3
Aleja Hallera / Mielecka,Plac Uniwersytecki (UWr),4
Aleja Hallera / Mielecka,Plac więtego Macieja / Trzebnicka,1
Aleja Hallera / Mielecka,Poniatowskiego / Olenicka,1
Aleja Hallera / Mielecka,Popowicka,4
Aleja Hallera / Mielecka,Powstańcow lšskich / Aleja Hallera,435
Aleja Hallera / Mielecka,Powstańców lšskich (Arkady Wrocławskie),116
Aleja Hallera / Mielecka,Powstańców lšskich/Orla,1
Aleja Hallera / Mielecka,Przyjani,21
Aleja Hallera / Mielecka,Przyjani / Karkonoska,29
Aleja Hallera / Mielecka,Racławicka / Rymarska,86
Aleja Hallera / Mielecka,Robotnicza / Fabryczna,2
Aleja Hallera / Mielecka,Rogowska / Zemska,1
Aleja Hallera / Mielecka,Rondo Reagana,4
Aleja Hallera / Mielecka,Rynek,25
Aleja Hallera / Mielecka,Sienkiewicza / Wyszyńskiego,3
Aleja Hallera / Mielecka,Skarbowców / Wietrzna,132
Aleja Hallera / Mielecka,Solskiego / al. Piastów,24
Aleja Hallera / Mielecka,Stacyjna (Dworzec Mikołajów),2
Aleja Hallera / Mielecka,Strzegomska / Estońska,79
Aleja Hallera / Mielecka,Strzegomska / Rogowska,3
Aleja Hallera / Mielecka,Szczęliwa (Sky Tower),73
Aleja Hallera / Mielecka,Szewska / Kazimierza Wielkiego ,9
Aleja Hallera / Mielecka,Tarnogajska / Klimasa,7
Aleja Hallera / Mielecka,Traktatowa (przystanek kolejowy),17
Aleja Hallera / Mielecka,Traugutta / Kociuszki,1
Aleja Hallera / Mielecka,Traugutta / Pułaskiego,2
Aleja Hallera / Mielecka,Trymanda / Mińska,6
Aleja Hallera / Mielecka,Tyrmanda / Trawowa,3
Aleja Hallera / Mielecka,Wałbrzyska - pętla tramwajowa,26
Aleja Hallera / Mielecka,Wita Stwosza / Szewska,13
Aleja Hallera / Mielecka,Wróblewskiego (ZOO),2
Aleja Hallera / Mielecka,Wyszyńskiego / Szczytnicka,2
Aleja Hallera / Mielecka,Zachodnia / Poznańska,3
Aleja Hallera / Mielecka,Zaporoska / Gajowicka,55
Aleja Hallera / Mielecka,Zaporoska / Grabiszyńska,23
Aleja Hallera / Mielecka,Zaporoska / Wielka / Krucza,27
Aleja Hallera / Mielecka,Zwycięska / Agrestowa,7
Aleja Hallera / Mielecka,Zwycięska / Ołtaszyńska,7
Aleja Hallera / Mielecka,al. Armii Krajowej / Bardzka,53
Aleja Hallera / Mielecka,al. Armii Krajowej / Borowska,135
Aleja Hallera / Mielecka,al. Armii Krajowej / Tarnogajska,4
Aleja Hallera / Mielecka,al. Karkonoska / Jedziecka,10
Aleja Hallera / Mielecka,al. Kochanowskiego / Kopernika,1
Aleja Hallera / Mielecka,pl. Orlšt Lwowskich,27
Aleja Hallera / Mielecka,Łukasiewicza / Smoluchowskiego (PWr),2
Aleja Hallera / Mielecka,lężna / Aleja Winiowa,56
Aleja Hallera / Mielecka,lężna / Kamienna (Uniw. Ekonomiczny),29
Aleja Hallera / Mielecka,lężna / Skierniewicka,38
Aleja Hallera / Mielecka,lężna / pętla tramwajowa,11
Aleja Hallera / Mielecka,rubowa / Strzegomska,8
Aleja Hallera / Mielecka,widnicka / Piłsudskiego (Hotel Scandic),26
Aleja Hallera / Mielecka,wieradowska (Ferio Gaj ),29
Aleja Hallera / Mielecka,wieradowska / Krynicka,10
Aleja Hallera / Mielecka,Żelazna / Pereca,62
Aleja Kromera,3M,3
Aleja Kromera,Aleja Hallera / Mielecka,2
Aleja Kromera,Aleja Kromera,653
Aleja Kromera,Bacciarellego,5
Aleja Kromera,Bacciarellego / pętla autobusowa,6
Aleja Kromera,Bałtycka / Żmigrodzka,19
Aleja Kromera,Berenta / Kasprowicza,87
Aleja Kromera,Bezpieczna / Obornicka,22
Aleja Kromera,Drobnera / Dubois,29
Aleja Kromera,Drobnera / Plac Bema,82
Aleja Kromera,Dworzec Główny,11
Aleja Kromera,Dworzec Główny południe,6
Aleja Kromera,Dyrekcyjna / Borowska (Wroclavia),1
Aleja Kromera,Fabryczna / Wagonowa,1
Aleja Kromera,Fosa Miejska ,10
Aleja Kromera,Gliniana / Gajowa,1
Aleja Kromera,Gorlicka / Litewska,41
Aleja Kromera,Grabiszyńska / Aleja Hallera,1
Aleja Kromera,Grabiszyńska / Magazynierska (Corte Verona),1
Aleja Kromera,Hubska / Prudnicka,3
Aleja Kromera,Jagiełły / Dmowskiego,16
Aleja Kromera,Janiszewskiego (PWr),5
Aleja Kromera,Jednoci Narodowej / Wyszyńskiego,127
Aleja Kromera,Joliot-Curie (Uwr),6
Aleja Kromera,Kamienna / Borowska (Aquapark),4
Aleja Kromera,Kamieńskiego,1
Aleja Kromera,Kamieńskiego / Jutrosińska,37
Aleja Kromera,Kasprowicza / Syrokomli,86
Aleja Kromera,Kazimierza Wielkiego (Helios),27
Aleja Kromera,Kiełczowska,14
Aleja Kromera,Komandorska / Kamienna,8
Aleja Kromera,Komandorska / Sanocka,1
Aleja Kromera,Koszarowa / UWr,293
Aleja Kromera,Kołłštaja / Podwale,3
Aleja Kromera,Kociuszki / Komuny Paryskiej / Zgodna,9
Aleja Kromera,Kociuszki / Pułaskiego,10
Aleja Kromera,Krakowska / Leroy Merlin,4
Aleja Kromera,Kraszewskiego / Trzebnicka,13
Aleja Kromera,Krzycka / Aleja Karkonoska (Park Południowy),1
Aleja Kromera,Krzywoustego - Rynek Psie Pole,106
Aleja Kromera,Krzywoustego / Korona,318
Aleja Kromera,Kurkowa / Dubois,10
Aleja Kromera,Kwidzyńska pętla,4
Aleja Kromera,Legnicka (Park Magnolia),1
Aleja Kromera,Legnicka / Wejherowska,7
Aleja Kromera,Legnicka / Zachodnia ,1
Aleja Kromera,Lotnicza / Bajana,1
Aleja Kromera,Marca Polo (Olimpia Port),27
Aleja Kromera,Mickiewicza / pętla tramwajowa,28
