id,lat,lng,name
0,51.108004,17.039528,Plac Dominikański (Galeria Dominikańska)
1,51.097108064432,17.036109566689,"Dworzec Główny południe"
2,51.109782,17.030175,Rynek
3,51.09975,17.036228,Dworzec Główny
4,51.124879,17.045844,Nowowiejska / Jednoci Narodowej
5,51.125276,16.984447,Legnicka / Wejherowska
6,51.126907,16.978759,Lotnicza / Na Ostatnim Groszu
7,51.095321999999996,17.033388000000002,Dyrekcyjna / Borowska (Wroclavia)
8,51.112154,17.060451,Rondo Reagana
9,51.100862,17.008224,Pereca / Grabiszyńska
10,51.086689,17.01248,Powstańcow lšskich / Aleja Hallera
11,51.094413,16.980911,Grabiszyńska / Aleja Hallera
12,51.094521,17.020876,Szczęliwa (Sky Tower)
13,51.112911,17.001360000000002,rubowa / Strzegomska
14,51.105207,17.053675,Na Grobli (PWr - Geocentrum)
15,51.088908,17.034051,Kamienna / Borowska (Aquapark)
16,51.113562051419,17.050673961639,Wyszyńskiego / Szczytnicka
17,51.111727,17.06768,Radeckiego / Marcinkowskiego (Uniw. Medyczny - CNIM)
18,51.074868,17.032457,Borowska (Uniw. Szpital Kliniczny)
19,51.121059,16.993088,Legnicka (Park Magnolia)
20,51.118237,17.028792000000003,Kurkowa / Dubois
21,51.116611999999996,17.023873000000002,Jagiełły / Dmowskiego
22,51.091457,17.017405,Plac Powstańców lšskich
23,51.105920000000005,17.075857,Wróblewskiego (ZOO)
24,51.084239000000004,17.02439,lężna / Aleja Winiowa
25,51.129565,16.989853,Popowice
26,51.103215999999996,16.9461,Trymanda / Mińska
27,51.109332,17.060510999999998,Janiszewskiego (PWr)
28,51.107234999999996,17.060715,Norwida / Wyspiańskiego (PWr)
29,51.120474,17.036641,Plac więtego Macieja / Trzebnicka
30,51.099401,16.941016,Mińska / stanisławowska
31,51.112359999999995,16.973689,Traktatowa (przystanek kolejowy)
32,51.110274,17.034912,Wita Stwosza / Szewska
33,51.103353999999996,17.030704,Plac Kociuszki (Renoma)
34,51.111489,17.020981,Plac Jana Pawła II (Akademia Muzyczna)
35,51.113871,17.034484,Plac Uniwersytecki (UWr)
36,51.112440604346,16.988554000854002,Fabryczna / Wagonowa
37,51.104413,17.022536,Plac Legionów
38,51.101321999999996,17.028528,widnicka / Piłsudskiego (Hotel Scandic)
39,51.1004,17.045082999999998,Kociuszki / Pułaskiego
40,51.110001000000004,17.047735999999997,Plac Powstańców Warszawy (Muzeum Narodowe)
41,51.098959,17.051519,Kociuszki / Komuny Paryskiej / Zgodna
42,51.104571,17.048102,Traugutta / Pułaskiego
43,51.115353999999996,16.998732,Stacyjna (Dworzec Mikołajów)
44,51.113703,17.006287,Plac Strzegomski / Poznańska
45,51.117668,17.007137,Zachodnia / Poznańska
46,51.117032,17.033499,Drobnera / Dubois
47,51.121308,17.043077,Poniatowskiego / Olenicka
48,51.122424,17.052013,Nowowiejska / Wyszyńskiego
49,51.125659999999996,17.050463,Żeromskiego / Daszyńskiego
50,51.122313,17.047515,Żeromskiego / Kluczborska
51,51.110662,17.052712,Joliot-Curie (Uwr)
52,51.115564,17.060704,Sienkiewicza / Piastowska
